time,tavg,tmin,tmax,prcp,wspd,pres,tsun
1984-03-01,6.1,,,116.0,,1014.9,6540.0
1984-04-01,10.4,,,5.0,,1018.4,16800.0
1984-05-01,10.0,,,96.0,,1010.8,9960.0
1984-06-01,14.2,,18.7,13.0,,1019.3,15720.0
1984-07-01,17.1,,,26.0,,1019.2,17100.0
1984-08-01,17.0,,21.6,84.0,,1018.6,13020.0
1984-09-01,14.5,,,95.0,,1014.3,11100.0
1984-10-01,12.7,,,91.0,,1015.8,6960.0
1984-11-01,9.9,,,167.0,,1005.1,3840.0
1984-12-01,7.7,,,182.0,,1019.4,4140.0
1985-01-01,3.0,,,140.0,,1013.6,3360.0
1985-02-01,5.8,,,81.0,,1017.2,7860.0
1985-03-01,6.4,,,200.0,,1014.3,7020.0
1985-04-01,9.5,,13.0,72.0,,1013.8,10500.0
1985-05-01,11.4,,15.1,35.0,,1013.4,13500.0
1985-06-01,13.8,,,37.0,,1016.3,11520.0
1985-07-01,16.3,,21.0,41.0,,1017.7,14640.0
1985-08-01,15.2,,,127.0,,1015.9,11640.0
1985-09-01,15.8,,20.5,23.0,,1021.5,11160.0
1985-10-01,12.2,,,56.0,,1022.4,8700.0
1985-11-01,7.2,,,112.0,,1015.1,4740.0
1985-12-01,9.2,,,171.0,,1014.9,2520.0
1986-01-01,7.2,,,195.0,,1012.3,3000.0
1986-02-01,1.1,,,61.0,,1011.0,4080.0
1986-03-01,6.9,,,134.0,,1014.7,7020.0
1986-04-01,6.2,,,88.0,,1011.8,11220.0
1986-05-01,10.8,,13.9,88.0,,1015.3,11640.0
1986-06-01,14.1,,,102.0,,1017.7,12480.0
1986-07-01,15.5,,,37.0,,1020.9,9420.0
1986-08-01,13.9,,,94.0,,1016.1,8160.0
1986-09-01,12.5,,16.5,114.0,,1022.6,10200.0
1986-10-01,12.8,,,129.0,,1019.0,7260.0
1986-11-01,9.4,,,149.0,,1019.2,4800.0
1986-12-01,8.5,,,192.0,,1016.7,4380.0
1987-01-01,1.9,,,50.0,,1021.3,5340.0
1987-02-01,6.0,,,79.0,,1015.7,3360.0
1987-03-01,6.7,,,96.0,,1017.5,8160.0
1987-04-01,11.0,,15.4,75.0,,1014.7,11280.0
1987-05-01,10.9,,,41.0,,1020.3,15060.0
1987-06-01,13.0,,,108.0,,1016.5,7980.0
1987-07-01,16.0,,,66.0,,1018.2,14520.0
1987-08-01,16.1,,,20.0,,1017.5,12060.0
1987-09-01,15.6,,,64.0,,1017.2,8220.0
1987-10-01,11.3,,,255.0,,1008.2,6720.0
1987-11-01,8.5,,,114.0,,1018.4,6060.0
1987-12-01,7.6,,,95.0,,1017.2,2940.0
1988-01-01,7.8,,,268.0,,1006.8,3360.0
1988-02-01,6.5,,,138.0,,1016.8,6840.0
1988-03-01,8.1,,,137.0,,1017.2,5760.0
1988-04-01,9.7,,,118.0,,1014.0,6540.0
1988-05-01,12.3,,,91.0,,1011.6,12720.0
1988-06-01,14.7,,,29.0,,1017.5,14400.0
1988-07-01,14.6,,,103.0,,1015.0,12420.0
1988-08-01,15.9,,19.8,99.0,,1015.9,12120.0
1988-09-01,14.4,,,64.0,,1020.3,7260.0
1988-10-01,12.9,,,91.0,,1013.0,7740.0
1988-11-01,8.6,,,43.0,,1021.3,7320.0
1988-12-01,9.6,,,59.0,,1027.9,2520.0
1989-01-01,7.7,,,74.0,,1029.7,4440.0
1989-02-01,8.0,,,125.0,,1018.1,4380.0
1989-03-01,9.7,,,117.0,,1014.9,6420.0
1989-04-01,8.2,,,109.0,,1009.9,10980.0
1989-05-01,15.2,,,17.0,,1019.7,19020.0
1989-06-01,15.6,,,22.0,,1018.6,16020.0
1989-07-01,,,,10.0,,1021.5,17400.0
1989-08-01,17.4,,,22.0,,1017.2,15300.0
1989-09-01,15.8,,,40.0,,1020.0,11460.0
1989-10-01,13.7,,,82.0,,1018.6,5820.0
1989-11-01,8.9,,,87.0,,1012.4,7380.0
1989-12-01,7.5,,,169.0,,1009.0,6060.0
1990-01-01,8.8,,,182.0,,1018.1,3480.0
1990-02-01,10.1,,,226.0,,1012.1,4020.0
1990-03-01,9.1,,,14.0,,1029.5,10380.0
1990-04-01,9.2,,,71.0,,1017.7,12120.0
1990-05-01,14.8,,,29.0,,1019.4,16260.0
1990-06-01,13.9,,,90.0,,1015.4,11040.0
1990-07-01,18.1,,,30.0,,1019.7,19320.0
1990-08-01,18.1,,,23.0,,1020.8,15780.0
1990-09-01,15.2,,,39.0,,1019.4,12720.0
1990-10-01,13.1,,,160.0,,1009.1,7380.0
1990-11-01,8.6,,,101.0,,1015.2,4800.0
1990-12-01,6.0,,,135.0,,1020.0,4920.0
1991-01-01,5.6,3.0,8.2,158.0,,1021.8,4260.0
1991-02-01,4.0,1.4,7.2,80.0,,1016.8,
1991-03-01,8.8,6.7,11.8,99.0,,1011.0,6960.0
1991-04-01,8.6,5.8,11.8,63.0,,1017.7,10140.0
1991-05-01,11.2,8.2,15.1,11.0,,1025.3,13980.0
1991-06-01,12.8,10.4,15.4,103.0,,1015.8,8820.0
1991-07-01,16.0,13.3,19.4,153.0,,1016.6,8220.0
1991-08-01,17.0,13.6,21.6,25.0,,1020.5,14100.0
1991-09-01,16.2,12.5,21.0,66.0,,1015.9,11280.0
1991-10-01,11.1,8.3,14.3,159.0,,1015.9,6420.0
1991-11-01,9.0,6.4,11.8,108.0,,1013.8,3600.0
1991-12-01,5.8,3.3,8.7,22.0,,1029.3,5160.0
1992-01-01,5.3,2.8,8.2,42.0,,1030.1,4680.0
1992-02-01,6.4,3.3,10.0,91.0,,1025.8,6240.0
1992-03-01,8.3,5.7,11.0,56.0,,1021.4,6120.0
1992-04-01,9.0,6.1,12.2,90.0,,1015.3,9240.0
1992-05-01,13.8,9.8,18.5,28.0,,1018.6,15660.0
1992-06-01,14.9,11.3,19.0,29.0,,1017.3,14820.0
1992-07-01,16.7,13.4,20.6,32.0,,1019.0,12420.0
1992-08-01,16.1,13.6,19.3,116.0,,1014.1,7320.0
1992-09-01,13.8,11.2,17.0,113.0,,1017.2,6660.0
1992-10-01,10.0,7.7,12.6,108.0,,1012.8,5760.0
1992-11-01,10.8,8.7,13.1,175.0,,1016.1,2700.0
1992-12-01,6.9,4.5,9.1,152.0,,1017.3,1380.0
1993-01-01,8.9,6.8,11.0,119.0,,1023.2,2700.0
1993-02-01,5.9,3.2,9.2,32.0,,1030.7,4800.0
1993-03-01,8.1,5.2,11.7,44.0,,1021.4,8640.0
1993-04-01,9.9,7.4,13.0,115.0,,1010.5,8160.0
1993-05-01,12.0,9.0,15.7,77.0,,1013.0,9540.0
